##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Covington, VA	140	0	5	1	5.1	6184
Danville, VA	1752	8	111	88	4.8	45684
Emporia, VA	374	0	16	17	5.2	5543
Fairfax, VA	296	0	23	3	10.7	21997
Falls Church, VA	243	0	42	12	7.9	10891
Franklin, VA	239	0	19	27	4.9	8449
Fredericksburg, VA	836	0	63	41	6.7	21270
Galax, VA	254	0	14	4	7.4	6737
Hampton, VA	4100	11	567	276	7.5	147051
Harrisonburg, VA	1029	2	80	36	7.4	42784
Hopewell, VA	767	0	138	56	4.9	22511
Lexington, VA	82	0	6	5	7.6	6882
Lynchburg, VA	1810	6	173	73	4.9	68028
Manassas, VA	940	0	129	65	9.4	36322
Manassas Park, VA	114	0	15	5	11.7	11652
Martinsville, VA	411	0	25	21	4.5	14776
Newport News, VA	6007	19	864	540	5.6	191264
Norfolk, VA	10468	59	1151	898	6.9	237487
Norton, VA	204	0	9	0	3.6	3637
Petersburg, VA	1710	10	290	151	3.9	32395
Poquoson, VA	136	0	9	0	8.3	11692
Portsmouth, VA	3716	22	409	366	5.3	100783
Radford, VA	475	0	31	8	4.9	15859
Richmond, VA	8976	85	2236	1209	5.2	197915
Roanoke, VA	4936	16	443	227	4.7	92506
Salem, VA	523	0	37	13	4.8	24751
South Boston, VA	0	0	0	0	0	0
Staunton, VA	515	1	40	13	4.9	23379
Suffolk, VA	2195	9	117	119	7.9	77924
Virginia Beach, VA	10397	19	759	621	10.6	437464
Waynesboro, VA	570	2	40	17	6.4	21135
Williamsburg, VA	440	1	25	14	10.7	11895
Winchester, VA	1179	1	61	34	7.1	25650
##WASHINGTON	197020	205	49152	5775	8.2	6261282
Adams, WA	505	1	64	13	9.6	16599
Asotin, WA	504	1	48	7	5.2	20899
Benton, WA	4289	7	447	49	9.3	156050
Chelan, WA	2303	2	162	18	7.8	69066
Clallam, WA	1645	0	193	13	9.1	68749
Clark, WA	10088	12	1909	239	8	399553
Columbia, WA	111	0	4	1	11.5	4015
Cowlitz, WA	3873	3	598	55	7.7	96359
Douglas, WA	955	0	72	10	14.3	34473
Ferry, WA	21	0	3	0	10.1	7443
Franklin, WA	1582	0	239	33	9.9	62581
Garfield, WA	73	0	7	0	16.5	2189
Grant, WA	2907	3	334	43	12.2	79845
Grays Harbor, WA	2884	2	364	36	8	70144
Island, WA	1399	1	171	10	15.6	79744
Jefferson, WA	747	0	42	3	12	28430
King, WA	64792	56	21795	2683	6.9	1803691
Kitsap, WA	4572	7	586	119	9	235769
Kittitas, WA	1674	0	112	5	10.3	37015
Klickitat, WA	224	1	51	2	11.5	19411
Lewis, WA	2292	3	288	24	8.8	71661
Lincoln, WA	158	0	17	0	14.9	10177
Mason, WA	2060	6	408	22	9.7	53884
Okanogan, WA	785	2	52	6	8.8	39056
Pacific, WA	608	2	64	4	10.2	21262
Pend Oreille, WA	358	0	38	1	9.6	12341
Pierce, WA	24062	28	7426	1122	8	749468
San Juan, WA	161	0	22	0	24.9	15083
Skagit, WA	6229	3	587	52	9.2	112176
Skamania, WA	225	2	16	2	13.9	10272
Snohomish, WA	16077	14	6518	413	9.8	649229
Spokane, WA	12660	16	2697	362	5.4	440145
Stevens, WA	789	1	87	9	8.4	40803
Thurston, WA	5983	2	814	101	6.9	227638
Wahkiakum, WA	20	0	7	0	14.4	3828
Walla Walla, WA	1484	0	105	14	9.8	57021
Whatcom, WA	7174	5	596	82	9.8	185356
Whitman, WA	568	3	33	4	11	41694
Yakima, WA	10179	22	2176	218	7.7	228163
##WEST VIRGINIA	30172	76	3557	767	9	1803920
Barbour, WV	132	0	14	2	9.9	15338
Berkeley, WV	1623	4	151	46	10.7	92513
Boone, WV	432	1	55	3	8.4	25302
Braxton, WV	152	1	23	2	10.4	14666
Brooke, WV	134	0	11	10	8.8	24326
Cabell, WV	3468	10	371	166	7.8	94290
Calhoun, WV	13	0	5	0	10.2	7247
Clay, WV	42	2	7	1	9.6	10133
Doddridge, WV	18	0	4	0	10.8	7294
Fayette, WV	392	1	40	8	8.2	46259
Gilmer, WV	56	0	9	0	10.9	6924
Grant, WV	34	0	12	0	12.1	11577
Greenbrier, WV	231	0	18	3	10.1	34523
Hampshire, WV	156	1	35	0	14.1	21749
Hancock, WV	272	0	12	5	9.5	30865
Hardy, WV	75	0	12	1	13.2	13353
Harrison, WV	1224	6	121	14	8.1	68051
Jackson, WV	154	1	39	2	9.1	28028
Jefferson, WV	463	0	78	7	11.7	48500
Kanawha, WV	6068	15	831	171	7.1	192839
Lewis, WV	114	0	11	2	9.7	17153
Lincoln, WV	294	0	70	4	8.9	22313
Logan, WV	978	3	149	27	6.9	35744
McDowell, WV	191	1	35	4	6.8	23759
Marion, WV	587	0	77	22	10	56377
Marshall, WV	369	1	33	2	9	33881
Mason, WV	246	0	41	3	6.9	25548
Mercer, WV	1143	5	130	40	7.9	61158
Mineral, WV	261	0	30	10	10	26813
Mingo, WV	224	0	44	3	7.3	26752
Monongalia, WV	1753	2	84	52	10.3	86196
Monroe, WV	50	0	12	0	14.4	13467
Morgan, WV	96	0	16	2	14.9	15848
Nicholas, WV	571	0	45	2	9.3	26094
Ohio, WV	715	0	97	33	9.2	44854
Pendleton, WV	27	0	1	2	15.2	7770
Pleasants, WV	14	0	2	0	10.7	7530
Pocahontas, WV	77	1	3	1	13.7	8785
Preston, WV	103	0	29	2	11.6	29792
Putnam, WV	1016	1	133	10	9	53839
Raleigh, WV	2264	5	235	40	7.5	78526
Randolph, WV	338	2	29	4	8.8	28347
Ritchie, WV	67	0	11	0	12.6	10335
Roane, WV	156	2	23	0	8.1	15323
Summers, WV	95	0	12	2	9	13467
Taylor, WV	37	0	4	0	10	15999
Tucker, WV	40	0	5	0	14	6962
Tyler, WV	27	1	6	0	9.5	9214
Upshur, WV	207	1	25	0	9.8	23384
Wayne, WV	676	4	113	16	7.2	41913
Webster, WV	44	0	9	0	9.7	9606
Wetzel, WV	67	0	9	0	8.4	16875
Wirt, WV	40	2	11	1	12.4	5775
Wood, WV	2000	3	163	42	7.3	86646
Wyoming, WV	146	0	12	0	8.1	24098
##WISCONSIN	107875	195	12443	4532	5.6	5541443
Adams, WI	16	0	0	1	7.3	20649
Ashland, WI	431	1	16	0	4.4	16445
Barron, WI	531	0	44	6	6	45564
Bayfield, WI	157	0	24	0	8.4	14980
Brown, WI	4488	5	355	74	5.2	238791
Buffalo, WI	101	0	5	0	10.1	13866
Burnett, WI	218	1	20	1	8.1	16296
Calumet, WI	511	0	22	2	6.2	44067
Chippewa, WI	791	0	50	3	5.2	59139
Clark, WI	241	1	26	1	9.1	33597
Columbia, WI	1065	0	45	4	5.9	54550
Crawford, WI	51	0	1	0	5.5	16874
Dane, WI	10356	3	797	411	6	462237
Dodge, WI	951	0	47	4	6.5	87224
Door, WI	305	0	10	0	8.6	28027
Douglas, WI	1356	1	124	13	4.1	43909
Dunn, WI	617	0	51	1	5.2	41540
Eau Claire, WI	1966	1	110	27	4	95535
Florence, WI	69	0	3	0	9.5	4860
Fond du Lac, WI	1498	0	63	11	5.9	98458
Forest, WI	153	0	31	0	7.1	9888
Grant, WI	446	1	24	2	7.7	49108
Green, WI	410	1	18	0	6.3	34812
Green Lake, WI	256	0	12	1	7.9	18820
Iowa, WI	249	0	14	0	7.3	23358
Iron, WI	90	2	10	1	6.8	6477
Jackson, WI	220	0	30	3	6.2	19608
Jefferson, WI	1211	0	76	11	5.7	78650
Juneau, WI	442	1	29	4	6.1	26403
Kenosha, WI	2985	4	268	129	5.2	159800
Kewaunee, WI	237	0	7	0	7.4	20448
La Crosse, WI	2177	1	95	26	4.6	109620
Lafayette, WI	132	1	9	1	13	16051
Langlade, WI	524	0	29	1	5.5	20419
Lincoln, WI	454	0	23	1	5.8	29873
Manitowoc, WI	943	1	55	2	5.9	81018
Marathon, WI	1723	0	90	27	5.2	127532
Marinette, WI	586	1	33	3	5.4	42940
Marquette, WI	105	1	25	0	9	14994
Menominee, WI	67	1	32	4	3.6	4550
Milwaukee, WI	31453	129	7415	3216	4.3	951265
Monroe, WI	757	1	55	4	6	42166
Oconto, WI	525	5	46	0	7.2	37224
Oneida, WI	521	0	26	1	5.7	36623
Outagamie, WI	3232	2	122	19	5.4	170038
Ozaukee, WI	823	0	25	2	5.7	85028
Pepin, WI	21	0	4	0	10.4	7407
Pierce, WI	659	0	48	3	6.7	38987
Polk, WI	344	0	48	1	7.5	43892
Portage, WI	1250	1	42	5	5.8	67566
Price, WI	91	0	2	0	7.2	14977
Racine, WI	5004	16	470	267	5	197025
Richland, WI	124	1	10	0	6	17984
Rock, WI	4362	4	287	113	5.3	156315
Rusk, WI	292	0	7	2	5.9	14683
St. Croix, WI	1105	1	58	4	6.5	76590
Sauk, WI	1708	0	68	6	5.8	57356
Sawyer, WI	335	0	54	0	7.1	16835
Shawano, WI	729	0	41	2	6.7	40913
Sheboygan, WI	2485	0	107	12	6.5	113650
Taylor, WI	202	0	8	0	6.3	19473
Trempealeau, WI	276	0	28	3	8.1	27553
Vernon, WI	181	0	16	1	6.8	28719
Vilas, WI	368	0	35	2	9.1	22067
Walworth, WI	1613	3	90	7	6.9	99000
Washburn, WI	175	0	5	2	6.3	16490
Washington, WI	1857	1	118	16	5.1	125038
Waukesha, WI	3304	1	210	43	5.2	374989
Waupaca, WI	732	1	54	2	6.3	51991
Waushara, WI	261	0	15	1	11.1	24590
Winnebago, WI	2623	1	128	21	5.5	159536
Wood, WI	1334	0	78	2	4.5	74496
##WYOMING	12713	14	724	77	9.2	506242
Albany, WY	915	2	43	2	7.8	32610
Big Horn, WY	53	0	5	0	17.7	11218
Campbell, WY	1027	2	46	6	6.6	37061
Carbon, WY	467	0	34	4	10.6	15012
Converse, WY	170	0	12	0	7.9	12453
Crook, WY	56	0	3	0	12.3	6017
Fremont, WY	862	1	47	6	7.8	36277
Goshen, WY	206	0	12	1	9.7	12067
Hot Springs, WY	112	0	2	0	7.9	4502
Johnson, WY	129	0	12	1	11.6	7646
Laramie, WY	2624	5	134	22	8.7	85270
Lincoln, WY	133	1	13	0	12.7	15345
Natrona, WY	2497	2	131	16	7.1	69442
Niobrara, WY	11	0	0	0	11.2	2229
Park, WY	468	0	13	2	10.1	26361
Platte, WY	113	0	9	1	8.8	8463
Sheridan, WY	455	0	25	1	10.2	27121
Sublette, WY	266	0	18	0	15.8	6870
Sweetwater, WY	1104	1	98	7	9.8	37266
Teton, WY	382	0	29	3	16.6	19343
Uinta, WY	551	0	37	4	8	19431
Washakie, WY	33	0	1	0	9.9	7763
Weston, WY	79	0	0	1	8.1	6475
